key	title	seat_d103	entry_no	watkins_band	watkins_list1	watkins_list2	watkins_cat_total	watkins_cat_survey	watkins_cat_additional	watkins_cat_cols	watkins_grade_years	miller_band	miller_calls	miller_rank
serpentstooth	The Serpent's Tooth	3	140	categorical (1)			1	1	0	Rhythm				
wail	Wail	3	141	categorical (2)			2	1	1	Rhythm				
atthejazzbandball	At the Jazz Band Ball	4	1											
basinstreetblues	Basin Street Blues	4	2									log only	1	207
bourbonstreetparade	Bourbon Street Parade [P]	4	3											
fidgetyfeet	Fidgety Feet	4	4											
highsociety	High Society [P]	4	5											
jazzmeblues	Jazz Me Blues	4	6											
muskratramble	Muskrat Ramble	4	7											
panama	Panama	4	8											
royalgardenblues	Royal Garden Blues	4	9	categorical (2)			2	0	2	Blues				
saintjamesinfirmary	St. James Infirmary	4	10								Freshman	Top 201		
struttinwithsomebarbecue	Struttin' with Some Barbecue	4	11											
thatsaplenty	That's a Plenty	4	12											
waydownyonderinneworleans	Way Down Yonder in New Orleans	4	13											
whenthesaintsgomarchingin	When the Saints Go Marching In	4	14									log only	1	207
wildmanblues	Wild Man Blues	4	15											
aintmisbehavin	Ain't Misbehavin'	4	16									log only	1	207
babywontyoupleasecomehome	Baby Won't You Please Come Home	4	17											
imconfessinthatiloveyou	I'm Confessin' That I Love You	4	18											
jitterbugwaltz	Jitterbug Waltz	4	19											
lazyriver	Lazy River	4	20											
squeezeme	Squeeze Me	4	21											
stardust	Star Dust [W]	4	22	List 2 (8)		8					Sophomore	Top 201		
jointisjumpin	The Joint Is Jumpin' [P]	4	23											
wearyblues	Weary Blues	4	24											
whenitssleepytimedownsouth	When It's Sleepy Time Down South	4	25											
whenyouresmiling	When You're Smiling	4	26											
wolverineblues	Wolverine Blues	4	27											
youcandependonme	You Can Depend on Me	4	28											
yourascalyou	You Rascal You (I'll Be Glad When You're Dead)	4	29											
afteryouvegone	After You've Gone	4	30											
avalon	Avalon	4	31											
chinaboy	China Boy	4	32											
crazyrhythm	Crazy Rhythm	4	33											
dinah	Dinah	4	34											
fourbrothers	Four Brothers	4	35											
hallelujah	Hallelujah	4	36											
iknowthatyouknow	I Know That You Know	4	37											
ificouldbewithyou	If I Could Be with You	4	38											
indiana	Indiana [W]	4	39	List 2 (9)		9					Sophomore|Junior	Top 201		
ivefoundanewbaby	I've Found a New Baby	4	40											
iwanttobehappy	I Want to Be Happy	4	41											
limehouseblues	Limehouse Blues	4	42	categorical (3)			3	1	2	Blues				
liza	Liza (All the Clouds'll Roll Away)	4	43											
roseroom	Rose Room	4	44											
sometimesimhappy	Sometimes I'm Happy	4	45											
saintlouisblues	St. Louis Blues	4	46	categorical (3)			3	1	2	Blues	Freshman			
sugarfootstomp	Sugar Foot Stomp (Dippermouth Blues)	4	47											
threelittlewords	Three Little Words	4	48											
whispering	Whispering	4	49											
exactlylikeyou	Exactly Like You	4	50									log only	1	207
