index	seat	title	basis	provenance	idiom	rhythmic_frame	form_block	harmonic_terrain	latin_integrated
3	125	Pursuance	classified; form block, counted at § VI.5.f	Jazz composition	Modal		minor blues	modal or vamp	
3	126	52nd Street Theme	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	127	Ah-Leu-Cha	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	128	Allen's Alley	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	129	An Oscar For Treadwell	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	130	Chasin' the Bird	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	131	Constellation	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	132	Crazeology	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	133	Kim	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	134	Little Rootie Tootie	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	135	Ow!	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
3	136	Red Cross	classified; form block, counted at § VI.5.f	Jazz composition	Bebop		rhythm changes		
